Speed,q
857,59.89
858,59.91
867,59.60
854,59.59
862,59.83
868,59.47
858,59.55
865,59.46
863,59.27
871,59.17
865,58.84
861,59.03
881,58.68
866,58.46
865,58.63
877,58.29
872,58.14
874,58.09
868,57.99
880,58.00
884,57.55
866,57.61
881,57.02
881,56.09
878,55.77
882,55.44
874,55.23
891,55.03
881,54.56
877,54.70
895,54.43
879,54.14
891,53.90
890,53.27
883,53.13
898,52.73
890,52.45
894,52.34
890,52.10
893,52.09
905,51.75
885,51.65
899,51.75
903,51.45
895,51.38
898,51.36
899,51.31
904,51.23
900,51.11
897,51.15
909,51.00
898,50.84
902,50.86
909,50.65
897,50.52
905,50.25
906,49.49
904,48.95
904,48.56
904,48.28
914,48.05
904,47.76
903,47.73
915,47.60
908,47.42
909,47.37
910,47.21
912,47.04
913,46.87
907,46.78
920,46.76
913,46.56
912,46.54
918,46.49
913,46.44
922,46.39
912,46.27
915,46.34
921,46.29
916,46.20
914,46.22
915,46.26
922,46.23
918,46.14
911,46.15
924,46.21
922,46.06
915,46.03
917,46.10
924,46.07
922,45.94
913,45.93
923,46.03
925,45.89
917,45.85
922,45.90
923,45.88
923,45.93
923,46.09
923,46.25
923,46.33
922,46.39
926,46.47
925,46.58
925,46.76
930,46.93
928,47.09
929,47.37
931,47.53
933,47.59
931,47.65
930,47.70
935,47.68
933,47.66
935,47.63
940,47.55
933,47.45
936,47.52
942,47.51
934,47.41
934,47.63
945,48.97
940,51.09
937,52.96
943,54.12
943,55.38
939,56.25
944,56.77
948,57.04
943,57.23
943,57.49
950,57.62
945,57.67
949,57.74
951,57.72
951,57.72
952,57.68
954,57.66
957,57.61
953,57.52
957,57.53
959,57.44
953,57.42
962,57.43
963,57.28
957,57.26
965,57.27
966,57.12
962,57.08
967,57.14
970,57.98
968,60.08
967,61.63
972,62.88
971,64.16
974,65.02
977,65.90
977,67.36
980,68.61
982,69.59
979,70.49
986,71.07
989,71.34
983,71.57
989,71.66
995,71.70
990,71.61
990,71.00
1000,69.35
995,68.28
993,66.39
1002,64.77
1001,63.19
1000,61.91
1003,59.45
1004,57.83
1006,56.41
1009,55.03
1009,54.02
1008,52.94
1014,51.83
1012,50.74
1010,50.02
1015,48.91
1012,48.14
1011,47.51
1014,46.99
1015,46.51
1015,46.19
1016,45.92
1018,45.74
1020,45.55
1016,45.39
1015,45.32
1023,45.28
1022,45.11
1011,45.07
1025,45.18
1024,44.94
1013,44.90
1025,44.88
1021,44.70
1019,44.54
1024,44.51
1021,44.38
1023,44.35
1023,44.19
1021,43.92
1019,43.69
1024,43.39
1024,43.12
1017,42.95
1030,42.84
1023,42.49
1019,42.41
1030,42.34
1020,42.12
1021,42.12
1026,41.97
1019,41.88
1026,41.88
1022,41.46
1023,41.08
1024,40.89
1022,40.61
1024,40.54
1022,40.32
1026,40.05
1022,39.70
1018,39.45
1027,39.16
1022,38.73
1020,38.59
1022,38.47
1022,38.37
1025,38.27
1018,38.18
1020,38.18
1030,38.16
1017,38.00
1018,38.15
1024,38.25
1020,38.17
1021,38.22
1020,38.24
1022,38.26
1019,38.25
1021,38.30
1022,38.28
1016,38.25
1025,38.31
1018,38.26
1019,38.28
1025,38.29
1017,38.19
1024,38.27
1022,38.20
1022,38.22
1022,38.20
1018,38.19
1022,38.24
1021,38.22
1022,38.22
1023,38.19
1017,38.15
1022,38.26
1019,38.24
1019,38.28
1024,38.26
1015,38.27
1021,38.56
1021,38.61
1021,38.66
1021,38.66
1019,38.70
1023,38.74
1020,38.70
1019,38.73
1024,38.77
1021,38.70
1021,38.70
1024,38.69
1022,38.64
1022,38.64
1019,38.67
1025,38.71
1023,38.66
1022,38.66
1021,38.68
1017,38.67
1025,38.73
1023,38.64
1017,38.65
1022,38.76
1023,38.76
1020,38.96
1021,39.37
1023,39.63
1025,40.00
1021,40.36
1023,40.78
1026,40.96
1024,41.18
1023,41.43
1020,41.70
1028,41.90
1027,41.91
1021,41.99
1027,42.10
1025,42.14
1025,42.31
1027,42.61
