Speed,q,p
1196,0,704400
1195,0,704257.9548
1194,0,704070.9057
1195,0,704271.0952
1194,0,703760.5702
1193,0,703025.8056
1193,0,703728.8951
1193,0,703600
1193,0,703244.5028
1190,0,702600
1191,0,702884.5142
1192,0,702831.4381
1190,0,701871.0331
1190,0,702213.3835
1190,0,702173.7563
1189,0,701400
1188,0,701186.4412
1189,0,701440.3715
1190,0,702102.3472
1187,0,700489.0743
1185,0,699698.2831
1187,0,701097.8391
1188,0,701502.9173
1186,0,699889.0344
1184,0,698884.8088
1186,0,700182.9588
1187,0,700675.3968
1182,0,698501.1938
1181,0,698241.163
1185,0,699755.6672
