Speed,q,p
680,21.16,467817
681,19.48,461264
675,20.80,464278
672,22.65,470983
670,28.01,491993
685,34.96,531878
698,32.99,527512
702,31.41,521268
706,32.77,530019
716,29.94,520614
718,28.22,514138
716,29.27,517684
707,31.32,523050
702,36.97,548746
708,37.58,554061
709,35.99,546484
701,39.63,560998
701,42.63,575793
705,40.69,567959
705,39.30,561195
703,38.44,556286
696,29.59,510358
691,23.84,483418
682,19.78,462763
668,20.77,461459
661,27.62,486795
665,27.43,487495
663,25.73,479910
657,29.55,492874
659,31.31,502203
653,33.12,509153
650,35.58,520502
651,36.46,525151
655,36.66,528019
663,36.06,528309
669,35.50,527994
672,35.17,527511
672,35.02,526855
671,35.04,526330
664,35.89,527971
662,36.39,529494
663,37.09,533439
675,37.24,539425
683,37.58,544203
700,41.98,572425
709,39.27,562376
709,41.49,573304
722,41.32,577316
731,35.66,554042
730,33.04,541215
720,37.58,558529
722,40.81,574701
735,37.74,565082
739,32.66,543560
738,31.09,535527
732,32.90,541343
732,35.57,554024
735,34.04,547904
727,35.81,553229
721,40.21,571449
723,44.24,591299
727,43.30,588096
723,45.78,598618
724,49.03,614338
728,47.63,609083
730,45.24,598434
728,46.52,603858
729,48.06,611357
732,45.99,602610
732,45.56,600694
732,45.53,600462
732,45.98,602444
733,45.56,600832
733,44.23,594602
731,46.09,602706
732,46.39,604498
733,45.40,600226
733,45.11,598758
734,44.61,596789
734,44.26,595031
734,45.22,599546
735,43.47,591951
733,43.08,589406
734,44.05,594144
736,42.80,589164
735,42.01,585226
735,42.43,586961
732,42.78,587547
730,46.49,604304
735,44.45,596445
734,41.74,583616
732,43.91,592842
736,44.02,594709
736,40.66,579037
734,43.44,591271
735,44.20,595425
735,43.36,591350
733,46.23,604145
735,47.25,609482
736,47.73,612066
737,48.85,617630
738,51.31,629261
742,52.00,633579
746,49.24,622252
749,48.75,620753
752,48.90,625525
755,48.48,627349
755,50.12,635679
758,50.96,643192
764,51.52,654662
770,51.82,664947
776,51.83,674401
781,51.63,681340
785,51.44,685912
790,51.10,693162
801,50.73,707719
814,50.08,726359
